SystemControl168,11
SystemControl58,23
SystemControl24,252
SystemControl167,11
SystemControl32,26
SystemControl194,20
SystemControl68,10
CXCR1,107
NPPC,136
B2M,9283
SystemControl15,27
CSF2RB,527
RELT,771
CD14,569
TXK,220
EFNA4,251
CDKN1A,484
DDIT3,138
ACACB,145
HSP90B1,405
CD83,670
IGHG2,3245
Negative02,25
CD274,152
IGHA1,2516
MXRA8,162
ITGA1,183
SystemControl4,15
CLOCK,138
FGFR3,78
SREBF1,274
CFD,220
IL1RL1,91
SPINK1,54
S100A2,129
ITGA8,70
SystemControl134,14
CXCL10,135
SFN,199
EPCAM,73
INS,30
NKG7,444
SystemControl64,31
MS4A6A,994
COL9A2,220
LGR5,60
COL27A1,103
KLRF1,137
SystemControl31,24
ENO1,666
SystemControl115,42
OAS2,627
TPM2,326
SystemControl197,40
ICA1,242
FKBP11,170
PSD3,505
ETS1,1243
PSAP,3386
OAS1,228
CCL8,144
ADGRA3,87
RAMP2,120
IL23A,165
CSF2,138
RGS5,172
CCR10,302
IFNGR2,389
MAML2,341
SystemControl181,25
FHIT,127
IFNAR1,415
IL1R2,104
FGFR2,91
MGP,237
COL4A2,285
DLL1,489
CD33,202
FCRLA,276
SystemControl88,12
MKI67,65
CDH5,185
SystemControl106,12
XKR4,42
LDLR,324
IL1B,212
BMPR1A,153
AKT1,405
CD52,1008
PHLDA2,144
COL11A1,63
ANXA1,277
TFEB,261
EMP3,918
GATA3,164
ACKR4,100
HLA-DRA,1797
VHL,819
MAF,1680
TWIST2,129
SEC23A,236
ABL1,369
SPRY2,145
SystemControl155,26
RNF43,89
STAT1,1058
SystemControl148,32
TNFRSF10B,273
EFNA5,89
ARHGDIB,1490
SystemControl82,20
VEGFD,78
ERBB3,72
SystemControl33,16
IL18R1,130
C5AR2,167
FGF12,60
ETV4,110
NOTCH1,309
TBX21,165
CD3G,133
ANGPT1,69
SystemControl54,26
LYZ,3289
SystemControl84,30
FCER1G,588
AR,130
TGFBR2,1373
SystemControl169,30
PDS5A,626
HDAC4,280
PTGES2,306
SMAD2,601
DNMT3A,355
TLR4,469
KRT16,120
ADGRA2,246
FZD3,94
HEY1,153
IGHD,1423
CD74,7467
RPL21,5654
RACK1,1529
CSF3R,155
CXCL8,91
GNLY,105
KRT18,273
MSR1,93
CHI3L1,91
GZMK,161
CMKLR1,286
CALD1,244
SystemControl131,13
WNT7B,102
IL4R,458
SystemControl112,24
KRT17,142
PCNA,251
SystemControl96,13
COL5A1,114
SystemControl113,11
SystemControl26,29
CD55,658
SystemControl158,29
MMP14,151
SystemControl128,26
SOX4,219
MMP9,756
ICAM1,725
CELSR2,114
GZMH,160
CD86,143
ATG10,228
IGFBP5,275
IFNG,86
NTRK2,42
CIITA,1636
NLRC5,1012
SystemControl161,48
SystemControl34,66
KRT80,31
IL36G,79
TNFSF15,94
S100A10,274
AATK,67
HLA-DRB,3743
COTL1,2081
CEACAM6,64
TGFBR1,235
SystemControl190,9
CLEC4A,201
CD4,570
PGR,62
NELL2,238
SystemControl162,19
SystemControl135,22
ITGB1,330
WNT7A,56
BMP4,60
CXCL14,247
SystemControl114,12
EIF5A/L1,1250
IFI27,70
IGFBP7,1366
POU5F1,337
SystemControl47,300
RXRB,479
SystemControl99,27
BMP1,92
LGALS9,1063
SystemControl9,45
RARG,192
MYC,391
CCL19,241
LMNA,179
IGHM,3796
IGF2,56
FFAR4,100
CD44,846
IGHG1,5675
ITGB2,916
TNFSF13B,245
NFKBIA,988
CST7,303
LDHA,422
COL12A1,84
SystemControl159,41
VIM,4385
BMP5,51
CCRL2,152
CD8A,205
XBP1,659
NEAT1,7758
DDR1,243
IAPP,63
IFNGR1,242
LINC01781,199
PTPRC,475
RB1,386
S100B,92
AREG,155
TM4SF1,153
CD300A,406
IFIT1,143
STAT3,374
COL3A1,151
SystemControl80,10
VCAN,69
KRT23,74
CIDEA,78
CELSR1,314
ARID5B,480
STAT6,539
Negative09,71
KLRK1,330
SystemControl165,6
FGF13,79
FFAR3,166
AHR,221
PTGDS,2701
FGG,73
EPOR,278
PNOC,340
COL4A1,121
NANOG,109
YES1,291
CD70,180
HSP90AA1,833
ADGRE5,421
SystemControl149,4
IL11,117
CLEC12A,89
FYN,539
FAM30A,404
OLFM4,86
TEK,47
VSIR,558
S100A9,231
OSM,226
LAMP3,75
TNFRSF12A,187
ANXA2,670
TNFSF10,973
LGALS3BP,193
UBA52,1925
NRXN3,57
KRT13,45
H4C3,1016
MPO,95
TWIST1,88
CXCL17,116
BMP2,156
IL6R,212
UPK3A,169
IL3RA,205
ENTPD1,299
DUSP5,956
ENG,291
CX3CL1,93
CD27,566
CDH19,64
IL20RA,72
SystemControl111,31
PTTG1,204
ITGB4,103
BST2,674
CTNNB1,530
ADGRF3,98
KRT6A/B/C,67
IFITM1,966
CD164,449
MALAT1,65607
SystemControl67,12
CD38,448
ITGA5,204
CD9,100
TCL1A,392
DDX58,275
HMGN2,2558
CX3CR1,94
ATG12,258
RPS4Y1,85
RAMP1,159
OSMR,269
NUSAP1,120
ATR,370
RYR2,79
EFNB1,192
LINC02446,90
SYK,611
MAP1LC3B/2,430
PRSS2,167
RAG1,54
IRF3,688
EGF,111
SystemControl5,14
ADGRF1,101
NRG1,55
ANXA4,320
MHC I,18568
BCL2,1129
SystemControl71,65
SystemControl63,35
MS4A1,2965
LEP,107
TNFRSF17,163
TLR3,71
SystemControl177,120
DDR2,124
NOD2,154
SLC40A1,1322
OAS3,229
RSPO3,46
CD37,2460
MIF,657
HDAC1,328
TYK2,662
ACKR3,227
AXL,293
VCAM1,1063
SystemControl94,47
FOXP3,77
PRF1,211
SystemControl100,16
ITGB8,80
CLEC1A,148
C11orf96,316
CEACAM1,179
CLEC7A,195
WNT9A,47
SystemControl154,18
ADGRG5,218
PDGFB,114
AHI1,144
H2AZ1,426
TNNT2,55
SystemControl145,150
ADIRF,329
SystemControl180,12
XCL1/2,224
SystemControl87,22
CD8B,149
GZMB,136
CYSTM1,243
SystemControl2,27
FZD5,127
ADGRL1,169
SIGIRR,545
SystemControl62,44
IL13RA1,165
SystemControl7,31
IGF1R,139
ESR1,93
CDH11,54
HDAC5,186
NGFR,88
SystemControl22,18
NPR2,151
CD69,1043
SystemControl186,23
IRF4,414
SOD1,441
SystemControl43,42
HBA1/2,199
COL1A1,283
SystemControl124,13
GCG,83
CXCL9,108
SRGN,2113
SystemControl1,26
WNT10B,102
NOSIP,394
IL17D,118
VWF,174
TIGIT,377
GADD45B,775
EPHA7,55
LIF,398
ADGRG6,104
TNNC1,195
SystemControl189,20
TLR5,88
MYL9,208
SystemControl86,20
COL17A1,103
FLT3LG,336
ATF3,229
SLPI,79
HAVCR2,134
SystemControl175,13
GPR183,481
NPR1,97
SystemControl70,14
CD209,3207
TNFRSF21,289
LY75,232
ADGRL4,61
PRTN3,78
CLEC4D,88
S100A4,339
TIE1,230
CCND1,244
SystemControl93,29
SystemControl101,48
TSHZ2,166
HSP90AB1,1167
CSF1R,421
TGFB2,65
DUSP4,138
INSR,163
SystemControl66,13
SystemControl91,28
MEG3,57
ITGAL,556
CLDN4,151
KRT86,133
Negative01,67
SystemControl122,18
SystemControl65,16
ANGPTL1,154
SystemControl141,28
IL12RB1,274
CPA3,93
FOXF1,132
JAK1,837
RPL22,2489
Negative06,51
PDGFRA,97
ADGRL2,94
RAMP3,112
SystemControl48,19
PTGS2,287
JUN,1257
CCL5,615
SystemControl56,24
S100A6,771
IL15RA,168
SystemControl160,40
KLK3,92
BAG3,141
KRT5,87
ACVRL1,257
COL16A1,66
C1QA,2692
RGS2,1679
CD3D,226
MFAP5,125
FZD6,60
EPHA4,67
KITLG,123
ACVR1,169
SOX2,59
CUZD1,73
AZGP1,85
ITGA9,225
DUSP2,578
SystemControl78,51
BMPR2,135
TGFB1,552
SystemControl179,15
SERPINA3,130
SystemControl116,66
TPSAB1/B2,477
CD59,301
GLUD1,331
SystemControl153,13
KLRB1,149
ESAM,137
PF4/V1,83
SystemControl57,29
LY6D,68
CD47,1018
CXCL16,492
SystemControl83,21
ROR1,151
CASR,84
SystemControl60,16
RYK,247
ITK,257
LAIR1,458
CTSW,251
IFI44L,353
SystemControl28,15
IL32,1149
RAC1,644
HILPDA,167
PDGFRB,161
CD3E,393
CD276,126
BAX,736
TNXA/B,233
CD53,1699
DLL4,183
CSF2RA,228
APOC1,1990
BID,252
HPGDS,81
IL10RB,405
CCR7,441
NR1H2,397
PTK2,242
SystemControl191,12
COL5A3,97
CD36,280
MIR4435-2HG,253
MS4A4A,197
SystemControl132,57
IFNA1/13,137
SystemControl123,17
SPP1,343
KRT14,70
TNF,133
WNT11,63
NDRG1,197
SystemControl30,47
ANKRD1,111
SystemControl27,30
CLEC10A,174
TUBB,883
SystemControl136,64
SystemControl55,7
SMAD4,366
PPIA,3776
TNFRSF18,216
NCR1,121
TLR2,216
COL8A1,49
SystemControl110,72
IL17RB,105
IL12A,100
CCL20,51
TP53,246
COL6A1,337
ITGAX,249
CAMP,167
EGFR,84
LINC01857,439
IL17RE,70
SystemControl157,18
SystemControl39,7
SystemControl53,11
SystemControl76,20
ITGA2,47
CCL26,68
EPHA3,74
IGKC,8165
ITM2A,171
CD40LG,124
KRT15,464
CHEK1,98
TNFSF9,238
ADGRE2,130
PTGS1,149
CD58,239
TAP2,336
P2RX5,1118
MTOR,290
TGFB3,295
SystemControl25,30
RARA,444
MECOM,67
CDH1,123
CD80,218
CSF1,496
CD163,518
NOTCH2,120
SystemControl79,27
DHRS2,239
BMP7,43
SST,52
APOA1,80
KRT7,54
SystemControl75,13
IL33,758
NLRP2,84
NOTCH3,205
IL6,237
FZD7,144
COL1A2,94
SystemControl95,11
NLRP1,338
CCL21,1110
IGFBP6,182
LYN,407
SystemControl37,12
SystemControl107,24
LAG3,140
G6PD,192
CNTFR,80
SystemControl90,13
MMP19,208
SystemControl36,22
SystemControl102,20
RORA,213
EPHB6,198
CCL13,87
CLEC2D,812
IL34,253
CD28,287
DPP4,90
SystemControl193,34
DUSP6,527
LGALS3,220
SH3BGRL3,1793
TNFAIP6,75
SystemControl16,13
CXCR4,2095
APOE,5562
PTGES,182
TAGLN,743
CXCR3,178
SystemControl170,27
NFKB1,243
FAS,238
FABP5,510
VEGFB,789
SCG5,81
MYL12A,1460
CARMN,169
SystemControl146,45
CTLA4,156
HLA-DQB1/2,1262
WNT5A,122
MYH11,62
IL20,86
FGF9,89
NPR3,101
SystemControl8,56
DUSP1,4620
HTT,261
PLAC9,178
MYL7,86
TNFSF14,167
ITGB5,130
TYROBP,641
SystemControl18,122
VEGFC,119
SystemControl44,15
CD63,1124
SystemControl187,14
SystemControl178,33
SystemControl183,20
MB,45
