SystemControl168,29
SystemControl58,43
SystemControl24,233
SystemControl167,33
SystemControl32,37
SystemControl194,18
SystemControl68,33
CXCR1,64
NPPC,69
B2M,5163
SystemControl15,36
CSF2RB,214
RELT,391
CD14,125
TXK,184
EFNA4,143
CDKN1A,224
DDIT3,79
ACACB,90
HSP90B1,239
CD83,728
IGHG2,752
Negative02,58
CD274,114
IGHA1,549
MXRA8,66
ITGA1,79
SystemControl4,41
CLOCK,89
FGFR3,86
SREBF1,214
CFD,83
IL1RL1,55
SPINK1,38
S100A2,82
ITGA8,43
SystemControl134,34
CXCL10,122
SFN,101
EPCAM,33
INS,45
NKG7,247
SystemControl64,44
MS4A6A,171
COL9A2,203
LGR5,71
COL27A1,69
KLRF1,44
SystemControl31,35
ENO1,386
SystemControl115,57
OAS2,453
TPM2,216
SystemControl197,27
ICA1,233
FKBP11,126
PSD3,223
ETS1,1053
PSAP,616
OAS1,134
CCL8,97
ADGRA3,40
RAMP2,46
IL23A,98
CSF2,59
RGS5,153
CCR10,161
IFNGR2,240
MAML2,231
SystemControl181,35
FHIT,133
IFNAR1,232
IL1R2,46
FGFR2,38
MGP,174
COL4A2,138
DLL1,205
CD33,59
FCRLA,111
SystemControl88,17
MKI67,59
CDH5,88
SystemControl106,17
XKR4,43
LDLR,367
IL1B,155
BMPR1A,80
AKT1,255
CD52,835
PHLDA2,107
COL11A1,50
ANXA1,190
TFEB,155
EMP3,594
GATA3,169
ACKR4,55
HLA-DRA,1200
VHL,592
MAF,503
TWIST2,110
SEC23A,150
ABL1,184
SPRY2,77
SystemControl155,30
RNF43,36
STAT1,796
SystemControl148,35
TNFRSF10B,239
EFNA5,59
ARHGDIB,1151
SystemControl82,52
VEGFD,60
ERBB3,60
SystemControl33,36
IL18R1,96
C5AR2,98
FGF12,61
ETV4,48
NOTCH1,160
TBX21,118
CD3G,184
ANGPT1,71
SystemControl54,34
LYZ,763
SystemControl84,37
FCER1G,68
AR,97
TGFBR2,423
SystemControl169,23
PDS5A,470
HDAC4,203
PTGES2,243
SMAD2,408
DNMT3A,230
TLR4,104
KRT16,81
ADGRA2,110
FZD3,55
HEY1,82
IGHD,308
CD74,4106
RPL21,4503
RACK1,1377
CSF3R,85
CXCL8,56
GNLY,45
KRT18,208
MSR1,55
CHI3L1,65
GZMK,200
CMKLR1,79
CALD1,192
SystemControl131,15
WNT7B,59
IL4R,238
