SystemControl168,26
SystemControl58,20
SystemControl24,157
SystemControl167,13
SystemControl32,26
SystemControl194,14
SystemControl68,22
CXCR1,38
NPPC,39
B2M,2148
SystemControl15,21
CSF2RB,133
RELT,216
CD14,145
TXK,66
EFNA4,112
CDKN1A,195
DDIT3,46
ACACB,60
HSP90B1,127
CD83,676
IGHG2,690
Negative02,36
CD274,54
IGHA1,425
MXRA8,53
ITGA1,57
SystemControl4,37
CLOCK,47
FGFR3,83
SREBF1,138
CFD,58
IL1RL1,46
SPINK1,29
S100A2,51
ITGA8,43
SystemControl134,28
CXCL10,69
SFN,58
EPCAM,33
INS,49
NKG7,113
SystemControl64,35
MS4A6A,217
COL9A2,111
LGR5,43
COL27A1,51
KLRF1,35
SystemControl31,18
ENO1,134
SystemControl115,55
OAS2,241
TPM2,136
SystemControl197,23
ICA1,123
FKBP11,57
PSD3,214
ETS1,450
PSAP,774
OAS1,71
CCL8,117
ADGRA3,47
RAMP2,34
IL23A,70
CSF2,46
RGS5,138
CCR10,112
IFNGR2,109
MAML2,131
SystemControl181,26
FHIT,72
IFNAR1,127
IL1R2,42
FGFR2,45
MGP,189
COL4A2,135
DLL1,240
CD33,67
FCRLA,69
SystemControl88,13
MKI67,25
CDH5,66
SystemControl106,17
XKR4,34
LDLR,199
IL1B,86
BMPR1A,42
AKT1,144
CD52,298
PHLDA2,55
COL11A1,40
ANXA1,111
TFEB,76
EMP3,296
GATA3,50
ACKR4,48
HLA-DRA,434
VHL,263
MAF,463
TWIST2,96
SEC23A,70
ABL1,108
SPRY2,68
SystemControl155,22
RNF43,39
STAT1,224
SystemControl148,37
TNFRSF10B,135
EFNA5,41
ARHGDIB,401
SystemControl82,24
VEGFD,51
ERBB3,42
SystemControl33,33
IL18R1,55
C5AR2,78
FGF12,26
ETV4,37
NOTCH1,77
TBX21,59
CD3G,59
ANGPT1,60
SystemControl54,40
LYZ,598
SystemControl84,37
FCER1G,53
AR,70
TGFBR2,249
SystemControl169,41
PDS5A,233
HDAC4,109
PTGES2,123
SMAD2,227
DNMT3A,104
TLR4,137
KRT16,55
ADGRA2,99
FZD3,49
HEY1,65
IGHD,462
CD74,1814
RPL21,1549
RACK1,443
CSF3R,67
CXCL8,48
GNLY,53
KRT18,96
MSR1,43
CHI3L1,41
GZMK,71
CMKLR1,79
CALD1,142
SystemControl131,21
WNT7B,31
IL4R,180
SystemControl112,46
KRT17,51
PCNA,94
SystemControl96,21
COL5A1,44
SystemControl113,38
SystemControl26,27
CD55,407
SystemControl158,82
MMP14,65
SystemControl128,24
SOX4,78
MMP9,280
ICAM1,205
CELSR2,49
GZMH,46
CD86,46
ATG10,88
IGFBP5,53
IFNG,46
NTRK2,33
CIITA,549
NLRC5,319
SystemControl161,33
SystemControl34,54
KRT80,27
IL36G,32
TNFSF15,41
S100A10,146
AATK,35
HLA-DRB,1434
COTL1,681
CEACAM6,36
TGFBR1,99
SystemControl190,12
CLEC4A,168
CD4,81
PGR,40
NELL2,116
SystemControl162,31
SystemControl135,21
ITGB1,139
WNT7A,45
BMP4,34
CXCL14,155
SystemControl114,16
EIF5A/L1,261
IFI27,45
IGFBP7,339
POU5F1,155
SystemControl47,362
RXRB,161
SystemControl99,31
BMP1,60
LGALS9,250
SystemControl9,37
RARG,79
MYC,196
CCL19,88
LMNA,138
IGHM,1002
IGF2,34
FFAR4,30
CD44,277
IGHG1,907
ITGB2,167
TNFSF13B,144
NFKBIA,386
CST7,146
LDHA,153
COL12A1,59
SystemControl159,24
VIM,1202
BMP5,37
CCRL2,48
CD8A,48
XBP1,242
NEAT1,2666
DDR1,130
IAPP,32
IFNGR1,99
LINC01781,99
PTPRC,163
RB1,136
S100B,51
AREG,90
TM4SF1,65
CD300A,154
IFIT1,27
STAT3,92
COL3A1,109
SystemControl80,15
VCAN,23
KRT23,32
CIDEA,27
CELSR1,149
ARID5B,188
STAT6,119
Negative09,48
KLRK1,112
SystemControl165,28
FGF13,47
FFAR3,71
AHR,78
PTGDS,588
FGG,32
EPOR,87
PNOC,162
COL4A1,57
NANOG,59
YES1,158
CD70,76
HSP90AA1,325
ADGRE5,116
SystemControl149,5
IL11,67
CLEC12A,33
FYN,235
FAM30A,253
OLFM4,50
TEK,41
VSIR,158
S100A9,47
OSM,105
LAMP3,39
TNFRSF12A,75
ANXA2,146
TNFSF10,359
LGALS3BP,83
UBA52,570
NRXN3,43
KRT13,12
H4C3,268
MPO,31
TWIST1,70
CXCL17,53
BMP2,118
IL6R,85
UPK3A,41
IL3RA,73
ENTPD1,107
DUSP5,320
ENG,126
CX3CL1,36
CD27,144
CDH19,41
IL20RA,28
SystemControl111,11
PTTG1,118
ITGB4,53
BST2,184
CTNNB1,285
ADGRF3,36
KRT6A/B/C,33
IFITM1,226
CD164,134
MALAT1,30282
SystemControl67,18
CD38,92
ITGA5,87
CD9,78
TCL1A,248
DDX58,118
HMGN2,753
CX3CR1,54
ATG12,89
RPS4Y1,76
RAMP1,51
OSMR,72
NUSAP1,45
ATR,130
RYR2,43
EFNB1,83
LINC02446,39
SYK,274
MAP1LC3B/2,126
PRSS2,116
RAG1,21
IRF3,246
EGF,36
SystemControl5,13
ADGRF1,61
NRG1,50
ANXA4,102
MHC I,5214
BCL2,394
SystemControl71,51
SystemControl63,57
MS4A1,1250
LEP,73
TNFRSF17,66
TLR3,33
SystemControl177,124
DDR2,53
NOD2,53
SLC40A1,201
OAS3,75
RSPO3,27
CD37,744
MIF,138
HDAC1,131
TYK2,163
ACKR3,241
AXL,56
VCAM1,159
SystemControl94,64
FOXP3,30
