SystemControl168,2
SystemControl58,13
SystemControl24,187
SystemControl167,2
SystemControl32,3
SystemControl194,5
SystemControl68,5
CXCR1,55
NPPC,141
B2M,2955
SystemControl15,10
CSF2RB,217
RELT,490
CD14,97
TXK,68
EFNA4,188
CDKN1A,209
DDIT3,107
ACACB,68
HSP90B1,188
CD83,1398
IGHG2,896
Negative02,29
CD274,120
IGHA1,827
MXRA8,124
ITGA1,56
SystemControl4,2
CLOCK,77
FGFR3,69
SREBF1,156
CFD,103
IL1RL1,51
SPINK1,30
S100A2,74
ITGA8,33
SystemControl134,3
CXCL10,90
SFN,132
EPCAM,66
INS,50
NKG7,175
SystemControl64,1
MS4A6A,73
COL9A2,222
LGR5,66
COL27A1,94
KLRF1,41
SystemControl31,5
ENO1,435
SystemControl115,11
OAS2,287
TPM2,136
SystemControl197,5
ICA1,162
FKBP11,102
PSD3,122
ETS1,560
PSAP,477
OAS1,142
CCL8,62
ADGRA3,34
RAMP2,82
IL23A,112
CSF2,73
RGS5,99
CCR10,180
IFNGR2,228
MAML2,128
SystemControl181,7
FHIT,46
IFNAR1,204
IL1R2,51
FGFR2,54
MGP,146
COL4A2,117
DLL1,235
CD33,48
FCRLA,224
SystemControl88,2
MKI67,46
CDH5,83
SystemControl106,3
XKR4,29
LDLR,181
IL1B,202
BMPR1A,77
AKT1,141
CD52,706
PHLDA2,93
COL11A1,48
ANXA1,86
TFEB,161
EMP3,496
GATA3,69
ACKR4,68
HLA-DRA,1538
VHL,730
MAF,290
TWIST2,85
SEC23A,131
ABL1,150
SPRY2,74
SystemControl155,4
RNF43,33
STAT1,292
SystemControl148,8
TNFRSF10B,148
EFNA5,54
ARHGDIB,881
SystemControl82,5
VEGFD,66
ERBB3,57
SystemControl33,3
IL18R1,87
C5AR2,69
FGF12,64
ETV4,54
NOTCH1,222
TBX21,130
CD3G,79
ANGPT1,37
SystemControl54,4
LYZ,440
SystemControl84,7
FCER1G,65
AR,131
TGFBR2,437
SystemControl169,8
PDS5A,308
HDAC4,122
PTGES2,206
SMAD2,237
DNMT3A,171
TLR4,122
KRT16,141
ADGRA2,111
FZD3,67
HEY1,144
IGHD,1084
CD74,6099
RPL21,3878
RACK1,1006
CSF3R,95
CXCL8,64
GNLY,59
KRT18,162
MSR1,56
CHI3L1,49
GZMK,124
CMKLR1,49
CALD1,119
SystemControl131,9
WNT7B,79
IL4R,229
SystemControl112,4
KRT17,121
PCNA,159
SystemControl96,3
COL5A1,79
SystemControl113,9
SystemControl26,5
CD55,558
SystemControl158,8
MMP14,65
SystemControl128,7
SOX4,126
MMP9,337
ICAM1,154
CELSR2,56
GZMH,107
CD86,78
ATG10,122
IGFBP5,84
IFNG,60
NTRK2,23
CIITA,1172
NLRC5,686
SystemControl161,9
SystemControl34,39
KRT80,25
IL36G,31
TNFSF15,75
S100A10,125
AATK,67
HLA-DRB,3043
COTL1,1104
CEACAM6,34
TGFBR1,149
SystemControl190,8
CLEC4A,150
CD4,90
PGR,42
NELL2,121
SystemControl162,3
SystemControl135,3
ITGB1,92
WNT7A,46
BMP4,56
CXCL14,147
SystemControl114,3
EIF5A/L1,672
IFI27,49
IGFBP7,242
POU5F1,286
SystemControl47,124
RXRB,309
SystemControl99,6
BMP1,65
LGALS9,318
SystemControl9,9
RARG,127
MYC,150
CCL19,112
LMNA,132
IGHM,2616
IGF2,40
FFAR4,65
CD44,680
IGHG1,1607
ITGB2,598
TNFSF13B,131
NFKBIA,438
CST7,188
LDHA,206
COL12A1,83
SystemControl159,2
VIM,1835
BMP5,42
CCRL2,89
CD8A,192
XBP1,204
NEAT1,1927
DDR1,159
IAPP,46
IFNGR1,151
LINC01781,138
PTPRC,295
RB1,270
S100B,58
AREG,81
TM4SF1,48
CD300A,141
IFIT1,53
STAT3,224
COL3A1,65
SystemControl80,7
VCAN,43
KRT23,57
CIDEA,52
CELSR1,188
ARID5B,267
STAT6,418
Negative09,60
KLRK1,145
SystemControl165,1
FGF13,41
FFAR3,88
AHR,63
PTGDS,641
FGG,46
EPOR,140
PNOC,328
COL4A1,64
NANOG,60
YES1,123
CD70,233
HSP90AA1,349
ADGRE5,138
SystemControl149,1
IL11,82
CLEC12A,56
FYN,264
FAM30A,225
OLFM4,74
TEK,30
VSIR,276
S100A9,73
OSM,98
LAMP3,43
TNFRSF12A,123
ANXA2,189
TNFSF10,238
LGALS3BP,89
UBA52,1539
NRXN3,50
KRT13,29
H4C3,627
MPO,53
TWIST1,68
CXCL17,68
BMP2,107
IL6R,69
UPK3A,130
IL3RA,72
ENTPD1,342
DUSP5,228
ENG,138
CX3CL1,102
CD27,421
CDH19,55
IL20RA,66
SystemControl111,1
PTTG1,123
ITGB4,49
BST2,275
CTNNB1,371
ADGRF3,77
KRT6A/B/C,51
IFITM1,519
CD164,154
MALAT1,27544
SystemControl67,3
CD38,118
ITGA5,92
CD9,60
TCL1A,260
DDX58,144
HMGN2,1376
CX3CR1,119
ATG12,185
RPS4Y1,52
RAMP1,93
OSMR,121
NUSAP1,101
ATR,206
RYR2,60
EFNB1,74
LINC02446,75
SYK,463
MAP1LC3B/2,236
PRSS2,129
RAG1,33
IRF3,473
EGF,35
SystemControl5,4
ADGRF1,66
NRG1,51
ANXA4,149
MHC I,11273
BCL2,727
SystemControl71,21
SystemControl63,7
MS4A1,3314
LEP,75
TNFRSF17,130
TLR3,43
SystemControl177,290
DDR2,82
NOD2,151
SLC40A1,55
OAS3,117
RSPO3,23
CD37,2213
MIF,475
HDAC1,255
TYK2,442
ACKR3,226
AXL,59
VCAM1,141
SystemControl94,16
FOXP3,43
PRF1,93
SystemControl100,3
ITGB8,65
CLEC1A,69
C11orf96,125
CEACAM1,67
CLEC7A,99
WNT9A,42
SystemControl154,4
ADGRG5,214
PDGFB,64
AHI1,82
H2AZ1,250
TNNT2,24
SystemControl145,218
ADIRF,235
SystemControl180,2
XCL1/2,109
SystemControl87,5
CD8B,53
GZMB,77
CYSTM1,110
SystemControl2,1
FZD5,102
ADGRL1,89
SIGIRR,281
SystemControl62,20
IL13RA1,117
SystemControl7,4
IGF1R,76
ESR1,59
CDH11,51
HDAC5,95
NGFR,78
SystemControl22,6
NPR2,102
CD69,771
SystemControl186,1
IRF4,250
SOD1,206
SystemControl43,7
HBA1/2,170
COL1A1,251
SystemControl124,5
GCG,56
CXCL9,93
SRGN,450
SystemControl1,7
WNT10B,75
NOSIP,166
IL17D,129
VWF,47
TIGIT,179
GADD45B,317
EPHA7,27
LIF,93
ADGRG6,67
TNNC1,163
SystemControl189,9
TLR5,59
MYL9,112
SystemControl86,3
COL17A1,49
FLT3LG,209
ATF3,96
SLPI,48
HAVCR2,48
SystemControl175,3
GPR183,437
NPR1,48
SystemControl70,2
CD209,140
TNFRSF21,50
LY75,138
ADGRL4,29
PRTN3,83
CLEC4D,50
S100A4,170
TIE1,77
CCND1,168
SystemControl93,5
SystemControl101,18
TSHZ2,71
HSP90AB1,685
CSF1R,159
TGFB2,54
DUSP4,111
INSR,105
SystemControl66,4
SystemControl91,18
MEG3,53
ITGAL,303
CLDN4,93
KRT86,102
Negative01,35
SystemControl122,5
SystemControl65,2
ANGPTL1,127
SystemControl141,7
IL12RB1,148
CPA3,53
FOXF1,134
JAK1,439
RPL22,1643
Negative06,44
PDGFRA,51
ADGRL2,47
RAMP3,71
SystemControl48,5
PTGS2,129
JUN,494
CCL5,417
SystemControl56,1
S100A6,490
IL15RA,71
SystemControl160,7
KLK3,65
BAG3,66
KRT5,54
ACVRL1,104
COL16A1,70
C1QA,97
RGS2,439
CD3D,111
MFAP5,92
FZD6,42
EPHA4,33
KITLG,70
ACVR1,91
SOX2,36
CUZD1,69
AZGP1,81
ITGA9,50
DUSP2,489
SystemControl78,6
BMPR2,78
TGFB1,287
SystemControl179,5
SERPINA3,43
SystemControl116,18
TPSAB1/B2,49
CD59,97
GLUD1,137
SystemControl153,5
KLRB1,35
ESAM,109
PF4/V1,64
SystemControl57,24
LY6D,54
CD47,524
CXCL16,165
SystemControl83,5
ROR1,71
CASR,56
SystemControl60,2
RYK,132
ITK,103
LAIR1,224
CTSW,85
IFI44L,98
SystemControl28,4
IL32,375
RAC1,227
HILPDA,109
PDGFRB,98
CD3E,116
CD276,94
BAX,406
TNXA/B,132
CD53,1193
DLL4,75
CSF2RA,141
APOC1,289
BID,169
HPGDS,41
IL10RB,193
CCR7,228
NR1H2,328
PTK2,138
SystemControl191,3
COL5A3,62
CD36,56
MIR4435-2HG,162
MS4A4A,44
SystemControl132,18
IFNA1/13,123
SystemControl123,8
SPP1,167
KRT14,52
TNF,105
WNT11,49
NDRG1,185
SystemControl30,13
ANKRD1,105
SystemControl27,5
CLEC10A,55
TUBB,552
SystemControl136,11
SystemControl55,6
SMAD4,157
PPIA,2303
TNFRSF18,121
NCR1,29
TLR2,112
COL8A1,40
SystemControl110,25
IL17RB,60
IL12A,64
CCL20,66
TP53,145
COL6A1,154
ITGAX,132
CAMP,129
EGFR,53
LINC01857,384
IL17RE,43
SystemControl157,3
SystemControl39,1
SystemControl53,5
SystemControl76,4
ITGA2,51
CCL26,31
EPHA3,73
IGKC,3072
ITM2A,65
CD40LG,67
KRT15,217
CHEK1,62
TNFSF9,259
ADGRE2,50
PTGS1,102
CD58,204
TAP2,252
P2RX5,804
MTOR,131
TGFB3,211
SystemControl25,4
RARA,177
MECOM,32
CDH1,78
CD80,120
CSF1,145
CD163,69
NOTCH2,73
SystemControl79,5
DHRS2,163
BMP7,39
SST,38
APOA1,85
KRT7,53
SystemControl75,3
IL33,84
NLRP2,55
NOTCH3,97
IL6,157
FZD7,101
COL1A2,76
SystemControl95,1
NLRP1,298
CCL21,297
IGFBP6,171
LYN,265
SystemControl37,5
SystemControl107,3
LAG3,86
G6PD,115
CNTFR,68
SystemControl90,4
MMP19,68
SystemControl36,5
SystemControl102,3
RORA,94
EPHB6,108
CCL13,79
CLEC2D,492
IL34,96
CD28,131
DPP4,50
SystemControl193,7
DUSP6,415
LGALS3,68
SH3BGRL3,874
TNFAIP6,47
SystemControl16,2
CXCR4,2013
APOE,321
PTGES,128
TAGLN,290
CXCR3,81
SystemControl170,3
NFKB1,145
FAS,120
FABP5,176
VEGFB,390
SCG5,85
MYL12A,564
CARMN,60
SystemControl146,12
CTLA4,53
HLA-DQB1/2,1295
WNT5A,60
MYH11,41
IL20,85
FGF9,62
NPR3,45
SystemControl8,18
DUSP1,1014
HTT,157
PLAC9,122
MYL7,58
TNFSF14,88
ITGB5,41
TYROBP,119
SystemControl18,138
VEGFC,62
SystemControl44,2
CD63,218
SystemControl187,5
SystemControl178,13
SystemControl183,3
MB,32
LEFTY1,139
SystemControl97,156
KRT10,76
PLAC8,687
KRT19,80
SystemControl85,6
BRCA1,37
FLT1,97
IL16,781
SystemControl188,6
FGF18,43
IGFBP3,279
SystemControl142,17
SystemControl12,0
ADGRG1,58
CYTOR,647
MAPK13,146
EPHB3,95
CXCL1/2/3,397
PFN1,2496
BIRC5,70
TNFRSF10A,56
EZH2,98
IFNL2/3,68
KRT4,35
IFIT3,58
SystemControl109,5
FGF1,50
ZFP36,905
EFNA1,153
SPRY4,48
CCL11,77
CALM3,213
GZMA,78
SystemControl164,33
ACVR2A,77
SystemControl140,6
TAP1,232
IL15,72
TLR8,42
SystemControl103,5
COL4A5,41
CXCL12,156
IL1RAP,69
SystemControl117,3
SystemControl73,37
TNFRSF4,112
GSN,285
HDAC11,77
BGN,63
SystemControl126,181
CCR5,123
HMGB2,220
ADIPOQ,84
KRT20,39
CXCR2,61
SystemControl17,7
THSD4,36
TTN,172
SystemControl40,4
IL12RB2,80
CCR2,80
LUM,48
MT2A,395
RXRA,114
KIT,54
BBLN,193
IL17RA,176
CCL2,59
SystemControl105,3
IL10RA,321
SystemControl61,4
MST1R,74
SystemControl150,6
CD19,1265
SystemControl156,7
SystemControl20,4
GSTP1,176
IL17B,105
C1QB,50
IL2,56
SOSTDC1,38
PDCD1,99
SystemControl50,8
ICOS,75
TNFRSF19,23
THBS2,53
ICAM2,270
RARRES2,192
PDGFD,44
VTN,73
CACNA1C,45
KRAS,176
SystemControl45,13
SystemControl196,13
SystemControl10,1
IL27RA,197
IKZF3,636
PDGFA,98
ACTA2,95
LTB,1628
CXCL5,224
IFITM3,323
WIF1,40
ST6GAL1,311
SystemControl69,5
SystemControl151,2
HLA-DQA1,1141
JAG1,70
SystemControl174,17
SystemControl125,1
GPX3,89
RGCC,194
TOX,116
STMN1,75
CALB1,71
SCGB3A1,42
SystemControl42,2
CCL3/L1/L3,334
CAV1,127
IL11RA,155
UBE2C,110
CYP2U1,87
BTK,387
DMBT1,48
SOD2,270
PGF,139
NR3C1,199
BCL2L1,174
FN1,63
STAT5A,176
GPBAR1,117
ARF1,492
LTF,70
MMP7,55
CSK,871
SystemControl118,0
LGALS1,215
HSD17B2,55
SystemControl14,12
SystemControl23,10
COL14A1,55
NR1H3,242
CLU,214
ETV5,42
SystemControl139,3
IL18,72
SystemControl3,8
IL1R1,41
SystemControl129,20
IDO1,94
RPL37,6651
CYP1B1,68
CD5L,101
SystemControl185,7
TNFRSF11A,73
OLR1,38
HSPA1A/B,300
LIFR,85
SystemControl72,2
RPL34,4491
CD79A,761
FGF7,53
SystemControl171,6
PARP1,300
SPOCK2,313
SAA1/2,218
SystemControl29,6
S100P,103
TNFRSF14,857
NRXN1,48
SystemControl49,2
LPAR5,233
B3GNT7,101
MX1,197
SystemControl137,7
CALM2,332
HBB,90
CSF3,87
SEC61G,151
HLA-DPA1,1017
ACVR1B,171
SystemControl38,4
CD40,390
CALM1,298
FABP4,49
TACSTD2,42
ADGRG3,79
TSC22D1,176
EZR,681
KRT1,49
PIGR,76
CLEC14A,44
GPER1,93
IL7,61
KRT8,167
SystemControl35,7
CASP3,128
FAU,2339
SERPINH1,115
ATG5,204
