SystemControl168,11
SystemControl58,14
SystemControl24,40
SystemControl167,7
SystemControl32,17
SystemControl194,16
SystemControl68,14
CXCR1,22
NPPC,19
B2M,3393
SystemControl15,16
CSF2RB,62
RELT,92
CD14,44
TXK,56
EFNA4,60
CDKN1A,73
DDIT3,30
ACACB,34
HSP90B1,102
CD83,173
IGHG2,194
Negative02,14
CD274,43
IGHA1,152
MXRA8,26
ITGA1,32
SystemControl4,18
CLOCK,21
FGFR3,38
SREBF1,77
CFD,36
IL1RL1,14
SPINK1,10
S100A2,28
ITGA8,24
SystemControl134,8
CXCL10,125
SFN,29
EPCAM,16
INS,11
NKG7,125
SystemControl64,27
MS4A6A,76
COL9A2,58
LGR5,27
COL27A1,37
KLRF1,24
SystemControl31,18
ENO1,172
SystemControl115,31
OAS2,144
TPM2,76
SystemControl197,10
ICA1,63
FKBP11,57
PSD3,88
ETS1,551
PSAP,236
OAS1,53
CCL8,51
ADGRA3,14
RAMP2,18
IL23A,19
CSF2,25
RGS5,43
CCR10,53
IFNGR2,104
MAML2,85
SystemControl181,23
FHIT,66
IFNAR1,105
IL1R2,19
FGFR2,21
MGP,72
COL4A2,80
DLL1,56
CD33,28
FCRLA,29
SystemControl88,9
MKI67,24
CDH5,26
SystemControl106,8
XKR4,17
LDLR,113
IL1B,25
BMPR1A,33
AKT1,113
CD52,340
PHLDA2,36
COL11A1,21
ANXA1,85
TFEB,46
EMP3,262
GATA3,57
ACKR4,16
HLA-DRA,436
VHL,183
MAF,169
TWIST2,72
SEC23A,50
ABL1,68
SPRY2,40
SystemControl155,14
RNF43,11
STAT1,466
SystemControl148,16
TNFRSF10B,100
EFNA5,25
ARHGDIB,695
SystemControl82,20
VEGFD,35
ERBB3,18
SystemControl33,12
IL18R1,39
C5AR2,45
FGF12,16
ETV4,19
NOTCH1,84
TBX21,31
CD3G,61
ANGPT1,31
SystemControl54,17
LYZ,440
SystemControl84,22
FCER1G,42
AR,30
TGFBR2,148
SystemControl169,14
PDS5A,175
HDAC4,92
PTGES2,100
SMAD2,207
DNMT3A,73
TLR4,49
KRT16,19
ADGRA2,39
FZD3,16
HEY1,38
IGHD,202
CD74,1617
RPL21,2126
RACK1,909
CSF3R,35
CXCL8,17
GNLY,24
KRT18,63
MSR1,21
CHI3L1,29
GZMK,87
CMKLR1,19
CALD1,101
SystemControl131,7
WNT7B,23
IL4R,121
SystemControl112,37
KRT17,22
PCNA,72
SystemControl96,13
COL5A1,28
SystemControl113,11
SystemControl26,20
CD55,75
SystemControl158,55
MMP14,17
SystemControl128,18
SOX4,37
MMP9,204
ICAM1,85
CELSR2,26
GZMH,33
CD86,20
ATG10,47
IGFBP5,28
